Date,Title,Tag,Sentiment_manual,Comment
2016-01-04,"Desplome de bolsas globales por China y petróleo",BANK_ES,-0.8,"Inicio de año en modo risk-off; golpe a banca europea."
2016-01-15,"S&P rebaja rating a Brasil (recesión LATAM)",BANK_ES,-0.4,"Riesgo en exposiciones a LATAM."
2016-02-11,"Brent toca mínimos (<30$)",BANK_ES,-0.5,"Se amplifica temor a impagos en energía."
2016-03-10,"BCE recorta tipos a 0% y amplía QE (TLTRO-II)",BANK_ES,0.6,"Liquidez y coste de financiación muy favorables."
2016-03-22,"Atentados de Bruselas (Zaventem y metro)",BANK_ES,-0.6,"Aversión al riesgo en Europa."
2016-04-16,"Terremoto de Ecuador (7.8 Mw)",BANK_ES,-0.3,"Shock humanitario; leve efecto de mercado."
2016-06-05,"Encuesta IBEX: desaceleración económica España",BANK_ES,-0.2,"Expectativas más débiles para resultados bancarios."
2016-06-23,"Brexit: RU vota salir de la UE",BANK_ES,-0.9,"Volatilidad extrema; impacto en Santander UK."
2016-07-05,"Estabilización post-Brexit por apoyos BCE/BoE",BANK_ES,0.3,"Alivio parcial; IBEX rebota."
2016-07-14,"Atentado de Niza (Francia)",BANK_ES,-0.4,"Nuevo repunte de aversión al riesgo en Europa."
2016-07-15,"Intento de golpe de Estado en Turquía",BANK_ES,-0.5,"Riesgo geopolítico; Turquía será relevante para BBVA (Garanti)."
2016-08-24,"Terremoto de Amatrice (Italia central)",BANK_ES,-0.3,"Impacto puntual; mercados aguantan."
2016-10-30,"Terremoto de Norcia (Italia)",BANK_ES,-0.3,"Nuevo evento; volatilidad limitada."
2016-11-04,"Entra en vigor Acuerdo de París (clima)",BANK_ES,0.1,"Visión de transición energética; efectos a largo plazo."
2016-11-08,"Elecciones EE.UU.: gana Donald Trump",BANK_ES,0.2,"Apuesta por estímulo fiscal; bancos rebotan por curva."
2016-11-30,"OPEP acuerda recortes de producción",BANK_ES,0.3,"Mejora del petróleo; sentimiento risk-on."
2016-12-04,"Referéndum Italia (Renzi dimite)",BANK_ES,-0.4,"Incertidumbre europea a corto."
2016-12-19,"Atentado en mercado navideño de Berlín",BANK_ES,-0.4,"Nuevo episodio de riesgo."
2017-01-20,"Trump toma posesión; agenda pro-crecimiento",BANK_ES,0.3,"Rally financiero global."
2017-03-10,"España crece cerca del 3%: soporte doméstico",BANK_ES,0.5,"Buen entorno para banca retail."
2017-05-07,"Macron gana en Francia (pro-UE)",BANK_ES,0.5,"Caen primas de riesgo; mejora bancos."
2017-05-22,"Atentado de Mánchester (Reino Unido)",BANK_ES,-0.4,"Aversión al riesgo puntual."
2017-06-03,"Atentado en Puente de Londres",BANK_ES,-0.4,"Serie de incidentes en RU."
2017-06-07,"Santander adquiere Banco Popular por 1€",SAN,0.2,"Evita crisis sistémica; riesgo de integración."
2017-08-17,"Atentados en Barcelona y Cambrils",BANK_ES,-0.6,"Impacto emocional y de confianza."
2017-09-07,"Terremoto México 8.2 Mw (Chiapas)",BANK_ES,-0.3,"Riesgo emergente; impacto de mercado limitado."
2017-09-19,"Terremoto México 7.1 Mw (CDMX)",BANK_ES,-0.3,"Reacción de mercado contenida."
2017-10-01,"Crisis catalana (1-O) e incertidumbre política",BANK_ES,-0.7,"IBEX y banca caen; traslados de sede social."
2017-11-05,"Paradise Papers: presión reputacional global",BANK_ES,-0.2,"Ruido regulatorio/reputacional."
2017-12-14,"BCE anuncia fin gradual de QE",BANK_ES,0.1,"Paso hacia normalización monetaria."
2018-01-31,"Santander beneficio 2017 ~6.6B€",SAN,0.5,"Sólido desempeño; Brasil y Popular aportan."
2018-02-06,"Corrección global de volatilidad (VIX spike)",BANK_ES,-0.4,"Caídas tácticas; rápida estabilización."
2018-03-22,"EE.UU. anuncia aranceles a China (guerra comercial)",BANK_ES,-0.5,"Incertidumbre global; bancos caen."
2018-05-29,"Crisis política en Italia (gobierno y presupuesto)",BANK_ES,-0.6,"Prima de riesgo Europa periphery sube."
2018-06-01,"Moción de censura: Pedro Sánchez nuevo presidente",BANK_ES,-0.2,"Cambios de agenda económica; ruido inicial."
2018-06-12,"Cumbre Trump–Kim (Corea): distensión",BANK_ES,0.1,"Alivio geopolítico muy temporal."
2018-07-06,"EE.UU. ejecuta primera ronda de aranceles a China",BANK_ES,-0.5,"Tensión prolongada; frena ciclo."
2018-08-10,"Colapso de la lira turca; BBVA (Garanti) expuesto",BBVA,-0.9,"Devaluación fuerte y riesgo crediticio."
2018-09-12,"BCE confirma fin QE en dic. y guía dovish",BANK_ES,0.2,"Mercados lo interpretan como confianza."
2018-10-10,"Sell-off global por subidas de tipos USA",BANK_ES,-0.5,"Aversión al riesgo; bancos sufren."
2018-11-17,"Protestas chalecos amarillos (Francia)",BANK_ES,-0.3,"Riesgo político europeo."
2018-12-19,"Fed sube tipos; tono más prudente",BANK_ES,-0.2,"Volatilidad navideña; curva USA más plana."
2019-01-24,"Resultados 2018 sólidos para BBVA y SAN",BANK_ES,0.4,"Resiliencia pese a tipos bajos."
2019-02-05,"España adelanta elecciones (abril 2019)",BANK_ES,-0.2,"Incertidumbre presupuestaria."
2019-03-07,"BCE lanza TLTRO-III y guía dovish",BANK_ES,0.6,"Apoyo directo a crédito y banca."
2019-04-21,"Atentados en Sri Lanka (Domingo de Pascua)",BANK_ES,-0.5,"Aversión global moderada."
2019-04-28,"Elecciones generales España (sin mayorías claras)",BANK_ES,-0.2,"Coaliciones; visibilidad limitada."
2019-05-31,"Tensión Italia–UE por déficit",BANK_ES,-0.4,"Riesgo spread periférico."
2019-08-14,"Inversión de la curva USA (recesión temida)",BANK_ES,-0.6,"Ventas en bancos; temor macro."
2019-09-12,"BCE recorta depo a -0.5% y reinicia QE",BANK_ES,0.7,"Mercados celebran estímulos; financieras rebotan."
