Ticker,Model,window,units,batch,lr,val_MSE,val_RMSE,val_MAE,best_epoch
BBVA,LSTM,10,32,32,0.001,3.453396857366897e-05,0.005876560947839218,0.004344066139310598,120
BBVA,GRU,10,32,32,0.001,5.675882857758552e-05,0.007533845537146718,0.005594357848167419,8
BBVA,LSTM,10,32,32,0.0005,4.3664476834237576e-05,0.006607910171471581,0.004745209589600563,120
BBVA,GRU,10,32,32,0.0005,3.7300982512533665e-05,0.006107453029908103,0.004417405463755131,120
BBVA,LSTM,10,32,64,0.001,8.471537876175717e-05,0.0092040957601362,0.006656229496002197,2
BBVA,GRU,10,32,64,0.001,4.1526749555487186e-05,0.006444125197068038,0.004867324605584145,23
BBVA,LSTM,10,32,64,0.0005,0.000532124366145581,0.023067821009917278,0.017167558893561363,2
BBVA,GRU,10,32,64,0.0005,0.00015097970026545227,0.012287379715197715,0.009651582688093185,6
BBVA,LSTM,10,64,32,0.001,7.994614134076983e-05,0.008941260612507043,0.007060660049319267,26
BBVA,GRU,10,64,32,0.001,3.9366350392811e-05,0.006274260943952762,0.004561548121273518,26
BBVA,LSTM,10,64,32,0.0005,9.170966950478032e-05,0.009576516564220015,0.007441542111337185,12
BBVA,GRU,10,64,32,0.0005,5.350838910089806e-05,0.007314942863816371,0.00562299694865942,3
BBVA,LSTM,10,64,64,0.001,4.065289977006614e-05,0.006375962654381387,0.004787885118275881,95
BBVA,GRU,10,64,64,0.001,5.03471601405181e-05,0.007095573277792155,0.005374036729335785,21
BBVA,LSTM,10,64,64,0.0005,5.57072926312685e-05,0.007463731816676461,0.005799959879368544,110
BBVA,GRU,10,64,64,0.0005,3.621578434831463e-05,0.006017955163368586,0.004448171705007553,90
BBVA,LSTM,10,128,32,0.001,7.120373629732057e-05,0.00843823063783638,0.006484960671514273,2
BBVA,GRU,10,128,32,0.001,4.520738366409205e-05,0.0067236436300633935,0.0049630580469965935,7
BBVA,LSTM,10,128,32,0.0005,0.00014425464905798435,0.012010605690721194,0.008906799368560314,5
BBVA,GRU,10,128,32,0.0005,5.1568869821494445e-05,0.007181146831913023,0.005526533350348473,5
BBVA,LSTM,10,128,64,0.001,3.6990095395594835e-05,0.006081948322338397,0.004612431861460209,78
BBVA,GRU,10,128,64,0.001,3.6340275983093306e-05,0.006028289639947081,0.004518047906458378,27
BBVA,LSTM,10,128,64,0.0005,4.979048026143573e-05,0.007056236975997598,0.005413730163127184,90
BBVA,GRU,10,128,64,0.0005,4.394307325128466e-05,0.006628957176757492,0.005037657916545868,24
BBVA,LSTM,20,32,32,0.001,0.00012306873395573348,0.011093634839660691,0.00849315244704485,15
BBVA,GRU,20,32,32,0.001,5.5932701798155904e-05,0.007478816871548327,0.005806769244372845,3
BBVA,LSTM,20,32,32,0.0005,3.307182123535313e-05,0.005750810485084092,0.004173217806965113,120
BBVA,GRU,20,32,32,0.0005,0.00016040894843172282,0.01266526543076468,0.009792089462280273,10
BBVA,LSTM,20,32,64,0.001,3.597656905185431e-05,0.00599804710317069,0.004244122188538313,120
BBVA,GRU,20,32,64,0.001,5.164150206837803e-05,0.007186202200632684,0.0049294778145849705,11
BBVA,LSTM,20,32,64,0.0005,0.00029801984783262014,0.01726325136909673,0.012506146915256977,2
BBVA,GRU,20,32,64,0.0005,0.00014588196063414216,0.012078160482215087,0.009288025088608265,4
BBVA,LSTM,20,64,32,0.001,3.807109533227049e-05,0.006170177901184899,0.0047369664534926414,31
BBVA,GRU,20,64,32,0.001,5.1401635573711246e-05,0.007169493397284863,0.005510745570063591,5
BBVA,LSTM,20,64,32,0.0005,0.00013109974679537117,0.01144987977209242,0.009243929758667946,22
